Buy,Sell,Hold
AIIL.NS,,APARINDS.NS
ETERNAL.NS,,CCL.NS
FORCEMOT.NS,,DATAPATTNS.NS
,,DELHIVERY.NS
,,GMDCLTD.NS
,,GVT&D.NS
,,JMFINANCIL.NS
,,LTF.NS
,,NETWEB.NS
,,SYRMA.NS
